,CRASH_CLASS
CRASH_CLASS,1.0
SEATBELT USED_bin,0.13450900574360808
MOTORCYCLE HELMET USED_bin,0.1133175126059428
PEDESTRIAN INVOLVED_bin,0.10369959405860688
MOTORCYCLE INVOLVED_bin,0.10270907201970472
ALCOHOL INVOLVED_bin,0.09985859979627014
DRUG INVOLVED_bin,0.07371103409275459
BICYCLED INVOLVED_bin,0.06570043678785938
BICYCLE HELMET USED_bin,0.06570043678785938
LATITUDE,0.05432693306551402
WORK ZONE LOCATION CODE,0.04613619495360114
WORKERS PRESENT_bin,0.013618664963058488
WORK ZONE_bin,0.012000072746609067
SCHOOL BUS INVOLVED CODE,0.004201436325319687
DAY OF WEEK CODE,-0.0012854969695282748
WORK ZONE TYPE CODE,-0.02241298453420607
WEATHER 2 CODE,-0.039721022481762853
LONGITUDE,-0.042481746799243554
LIGHTING CONDITION CODE,-0.11519247199999011
WEATHER 1 CODE,-0.1155999771928656
ROAD SURFACE CODE,-0.11920923587618329
MANNER OF IMPACT CODE,-0.16331286189120395
PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,-0.1834085484570066
COLLISION ON PRIVATE PROPERTY_bin,-0.4341556703609573
