,0
CRASH CLASSIFICATION DESCRIPTION,0.46798487537739675
CRASH CLASSIFICATION CODE,0.4053529209493581
COLLISION ON PRIVATE PROPERTY_bin,0.030672072895450427
COLLISION ON PRIVATE PROPERTY,0.02890056127290723
MANNER OF IMPACT DESCRIPTION,0.01042660042806307
MANNER OF IMPACT CODE,0.008917500025713008
LIGHTING CONDITION DESCRIPTION,0.005179020068398025
ROAD SURFACE CODE,0.0051050754632401205
LIGHTING CONDITION CODE,0.0034715152647699994
PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,0.0034486854678628855
WEATHER 1 CODE,0.003290728626347388
ROAD SURFACE DESCRIPTION,0.0029233397919837104
PEDESTRIAN INVOLVED,0.002789391885520533
PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,0.002788527273885703
PEDESTRIAN INVOLVED_bin,0.0027301940678203292
WEATHER 1 DESCRIPTION,0.0027188315694135936
MOTORCYCLE INVOLVED_bin,0.0013608383718317681
MOTORCYCLE HELMET USED,0.001296307866459661
LATITUDE,0.001138059906749044
MOTORCYCLE INVOLVED,0.0009862164155228922
MOTORCYCLE HELMET USED_bin,0.0008360668892811771
LONGITUDE,0.000772186587150164
the_geom,0.0007650389430631308
BICYCLE HELMET USED,0.0007323487187859212
SEATBELT USED_bin,0.000716133756141605
SEATBELT USED,0.000715385062253964
ALCOHOL INVOLVED,0.0005559313932766057
ALCOHOL INVOLVED_bin,0.0005046378669278039
CRASH DATETIME,0.0004697405398851167
BICYCLE HELMET USED_bin,0.00046436840105497053
BICYCLED INVOLVED_bin,0.0004338493670410464
BICYCLED INVOLVED,0.000422489492392421
DRUG INVOLVED,0.0002492099554540816
DRUG INVOLVED_bin,0.0002483242999105166
DAY OF WEEK DESCRIPTION,0.0001726891230426508
DAY OF WEEK CODE,0.0001721338389081999
WEATHER 2 DESCRIPTION,0.00011349722887900887
WEATHER 2 CODE,0.00010230813157134176
WORK ZONE LOCATION CODE,9.842202564981612e-06
SCHOOL BUS INVOLVED CODE,9.297737075323295e-06
WORK ZONE TYPE DESCRIPTION,9.271831349568891e-06
WORK ZONE TYPE CODE,9.167018449849555e-06
WORK ZONE LOCATION DESCRIPTION,8.04973264253549e-06
SCHOOL BUS INVOLVED DESCRIPTION,7.974451456376198e-06
WORKERS PRESENT,6.66837272758567e-06
WORK ZONE,4.602280165186717e-06
WORK ZONE_bin,4.193995502855232e-06
WORKERS PRESENT_bin,3.329794351955278e-06
