,0
CRASH CLASSIFICATION CODE,1.0444391550716614
CRASH CLASSIFICATION DESCRIPTION,1.0365405025782408
COLLISION ON PRIVATE PROPERTY,0.12091363287244628
COLLISION ON PRIVATE PROPERTY_bin,0.12018629123954816
MANNER OF IMPACT DESCRIPTION,0.08896687137562109
MANNER OF IMPACT CODE,0.08626426089003014
PRIMARY CONTRIBUTING CIRCUMSTANCE DESCRIPTION,0.08136686528668502
PRIMARY CONTRIBUTING CIRCUMSTANCE CODE,0.08094552643174491
LIGHTING CONDITION DESCRIPTION,0.07818077771324683
SEATBELT USED_bin,0.05728752649662905
SEATBELT USED,0.055938793825608846
WORK ZONE TYPE DESCRIPTION,0.05479906963792747
WEATHER 1 DESCRIPTION,0.05450772319916064
LIGHTING CONDITION CODE,0.05345108678674504
ROAD SURFACE DESCRIPTION,0.05128490373556249
ROAD SURFACE CODE,0.048449516761926326
WORK ZONE LOCATION CODE,0.04440423453493936
the_geom,0.04367258278082797
WEATHER 1 CODE,0.04289740111347662
WEATHER 2 CODE,0.04175896316351979
LATITUDE,0.040424041918939446
WORK ZONE LOCATION DESCRIPTION,0.03700417352701946
WORKERS PRESENT,0.03609975707858992
WORK ZONE TYPE CODE,0.033870867974723495
WEATHER 2 DESCRIPTION,0.03243694943279185
LONGITUDE,0.027480640303941373
CRASH DATETIME,0.02599717728895512
PEDESTRIAN INVOLVED,0.012075952429820402
PEDESTRIAN INVOLVED_bin,0.01204909132622678
MOTORCYCLE HELMET USED_bin,0.008434241733835224
MOTORCYCLE HELMET USED,0.007758130094038362
MOTORCYCLE INVOLVED,0.00694938560588132
DAY OF WEEK CODE,0.006595612895158975
ALCOHOL INVOLVED,0.006324330595191441
MOTORCYCLE INVOLVED_bin,0.005873383381709285
DAY OF WEEK DESCRIPTION,0.005865856391998214
ALCOHOL INVOLVED_bin,0.005794378703861236
BICYCLE HELMET USED,0.005777068219147363
DRUG INVOLVED_bin,0.005538707438843105
DRUG INVOLVED,0.005098086377285149
BICYCLED INVOLVED,0.004675021553709913
BICYCLED INVOLVED_bin,0.003678107825672683
BICYCLE HELMET USED_bin,0.003405458948917861
WORKERS PRESENT_bin,0.0018361478932127362
SCHOOL BUS INVOLVED DESCRIPTION,0.0009879198096480746
WORK ZONE,0.0007045726783203587
SCHOOL BUS INVOLVED CODE,0.00031290584429166657
WORK ZONE_bin,4.7871114840614126e-05
